ID,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
253,Haus,Unclear,100,8/8/2022,food and beverage,"Healdsburg, CA",TechCrunch,Private,
254,BlockFi,Unclear,100,11/28/2022,Crypto,Jersey City,Decrypt,Private,
255,Pesto,Unclear,100,9/23/2022,"IT, future of work",San Francisco,Pesto announcement,Private,
256,Kitty Hawk,Unclear,100,9/21/2022,aerospace,Mountain View,CNBC,Private,
257,Subspace,Unclear,100,5/13/2022,Media/entertainment,Los Angeles,LinkedIn,Private,
258,Halcyon Health,Unclear,100,4/15/2022,Health Care,New York,Axios,Private,
259,Ahead,Unclear,100,4/14/2022,Health Care,"Santa Clara, CA",Bloomberg,Private,
260,100 Thieves,12,Unclear,1/10/2023,"eSports, Media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees."
261,Orbit,14,Unclear,8/12/2022,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
262,Cybereason,100,Unclear,6/1/2022,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
263,Progrexion,100,Unclear,6/7/2022,FinTech,Salt Lake City,Crunchbase News,Private,
264,Gem,100,Unclear,11/2/2022,Recruiting,San Francisco,Gem CEO,Private,
265,Glossier,104,Unclear,8/2/2022,Beauty,New York,Modern Retail,Private,
266,Stripe,1050,Unclear,11/3/2022,Fintech,San Francisco,Bloomberg,Private,
267,Curative,109,Unclear,9/20/2022,health diagnostics,Los Angeles,Digital Health,Private,
268,Noom,1095,Unclear,10/11/2022,Fitness/Digital Health,New York,TechCrunch,Private,
269,Homepoint,113,Unclear,11/17/2022,Proptech,"Greenville, SC",Phoenix Business Journal,Private,
270,Arc,13,Unclear,7/20/2022,HR Tech,Mountain View,LinkedIn,Private,
271,ChowNow,140,Unclear,12/14/2022,"Restaurant Tech, Food Tech","Playa Visa, California",Restaurant Business Online,Private,
272,Healthcare.com,149,Unclear,8/3/2022,Insurtech,"Miami, FL",Miami Inno,Private,
273,Finite State,16,Unclear,6/17/2022,Cybersecurity,Columbus,ColumbusInno,Private,
274,Rad Power Bikes,163,Unclear,7/21/2022,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
275,Cameo,167,Unclear,5/4/2022,Media/entertainment,Chicago,The Information,Private,
276,Weedmaps,175,Unclear,12/6/2022,"Marijuana, marketing","Irvine, CA",Business Insider,Private,
277,Orchard,180,Unclear,11/17/2022,Proptech,New York,Inman,Private,
278,Clyde,19,Unclear,4/25/2022,E-commerce,New York,External Spreadsheet,Private,
279,AvantStay,224,Unclear,11/9/2022,Travel,Los Angeles,Skift,Private,
280,Booking.com,226,Unclear,11/1/2022,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,
281,Aspire,23,Unclear,7/15/2022,Marketing tech,San Francisco,Business Insider,Private,
282,Gopuff,2300,Unclear,10/21/2022,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October."
283,Eaze,25,Unclear,6/2/2022,Cannabis,San Francisco,Business Insider,Private,
284,Nuro,310,Unclear,11/18/2022,Transportation,Mountain View,The Robot Report,Private,
285,Citizen,33,Unclear,1/11/2023,Surveillance,New York,TechCrunch,Private,
286,Balto,35,Unclear,12/12/2022,"Artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,
287,Hopin,370,Unclear,7/11/2022,Virtual Event,London,TechCrunch,Private,
288,Vial,40,Unclear,1/13/2023,"health care, clinical trials",San Francisco,Business Insider,Private,
289,Wistia,40,Unclear,11/10/2022,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,
290,FreshDirect,40,Unclear,8/25/2022,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
291,Adwerx,40,Unclear,7/12/2022,Digital Marketing,"Durham, North Carolina",Inman,Private,
292,Community,40,Unclear,6/22/2022,Social Media,Los Angeles,Business Insider,Private,
293,Esme Learning,40,Unclear,6/2/2022,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,
294,Luxury Presence,44,Unclear,1/17/2023,"proptech, advertising","Santa Monica, CA",Inman,Private,
295,Hubilo,45,Unclear,7/12/2022,Virtual Events,San Francisco,Inc42,Private,
296,Olive,450,Unclear,7/19/2022,Health Care,Columbus,Olive,Private,
297,Imperfect Foods,50,Unclear,8/1/2022,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,
298,Tempo Automation,54,Unclear,8/17/2022,automotive,San Francisco,San Francisco Business Times,Private,
299,Chili Piper,58,Unclear,11/17/2022,"enterprise software, productivity",New York,Chili Piper,Private,
300,On Deck,73,Unclear,8/4/2022,"Networking, business development",San Francisco,TechCrunch,Private,
301,Varo,75,Unclear,7/20/2022,Fintech,San Francisco,Axios,Private,
302,Nylas,80,Unclear,8/2/2022,"Software, Emails, API",San Francisco,Nylas,Private,
303,Career Karma,82,Unclear,1/12/2023,"Career planning, social network",San Francisco,TechCrunch,Private,
304,Rev.com,85,Unclear,10/7/2022,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,
305,The Zebra,90,Unclear,11/15/2022,"Insurance, fintech","Austin, TX",Coverager,Private,
306,Colossus,97,Unclear,5/20/2022,"Solar, Software",Massachusetts,Axios,Private,
307,OnlyFans,Unclear,Unclear,8/1/2022,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US
308,Talkdesk,Unclear,Unclear,5/19/2022,Customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off
309,StubHub,Unclear,Unclear,8/4/2022,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post
310,Cerebral,Unclear,Unclear,10/24/2022,Health Care,San Francisco,Wall Street Journal,Private,The company previously laid off employees in May.
311,Elemy,Unclear,Unclear,12/5/2022,Health Care,San Francisco,Behavioral Health Business,Private,The company previously laid off workers in July.
312,TikTok,Unclear,Unclear,7/18/2022,Social Media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S."
313,RateGenius,Unclear,Unclear,1/17/2023,"consumer lending, fintech","Austin, TX",AustinInno,Private,
314,GoCanvas,Unclear,Unclear,1/13/2023,"productivity, enterprise software","Reston, VA",GoCanvas CEO Viyas Sundaram,Private,
315,CoSchedule,Unclear,Unclear,1/13/2023,"productivity, marketing","Bismarck, ND",Inforum,Private,
316,Oyster,Unclear,Unclear,1/11/2023,"human resources, SaaS","Charlotte, NC",Oyster,Private,
317,Embark,Unclear,Unclear,1/11/2023,"Pet tech, health care",Boston,Embark CEP Ryan Boyko,Private,
318,Cart.com,Unclear,Unclear,1/10/2023,"E-commerce, DTC","Austin, TX",AustinInno,Private,
319,CreateMe Technologies,Unclear,Unclear,1/6/2023,"Product design, apparel","New City, NY",San Francisco Business Times,Private,
320,CareerArc,Unclear,Unclear,1/6/2023,"Human resources, recruiting",Los Angeles,CareerArc,Private,
321,Autograph,Unclear,Unclear,12/16/2022,"cryptocurrency, blockchain","Santa Monica, CA",Business Insider,Private,
322,Convene,Unclear,Unclear,12/10/2022,"Proptech, hospitality",New York,Convene CEO Ryan Simonetti,Private,
323,Autobooks,Unclear,Unclear,12/10/2022,"Fintech, payments",Detroit,Crain's Detroit Business,Private,
324,Zywave,Unclear,Unclear,12/7/2022,"Insurtech, cloud computing",Milwaukee,Milwaukee Business Journal,Private,
325,CircleCI,Unclear,Unclear,12/7/2022,"automation, IT",San Francisco,CircleCI,Private,
326,Route,Unclear,Unclear,12/5/2022,"Retail, e-commerce","Lehi, UT",Salt Lake Tribune,Private,
327,Inspectify,Unclear,Unclear,11/28/2022,Proptech,Seattle,Puget Sound Business Journal,Private,
328,Storyblocks,Unclear,Unclear,11/18/2022,"Media, video editing","Washington, DC",Storyblocks CEO,Private,
329,Metaplex,Unclear,Unclear,11/18/2022,Cryptocurrency,Chicago,AMBCrypto,Private,
330,Kandji,Unclear,Unclear,11/17/2022,"IT, software",San Diego,LinkedIn reports,Private,
331,Reforge,Unclear,Unclear,11/10/2022,HR Tech,San Francisco,Reforge CEO,Private,
332,Amobee,Unclear,Unclear,11/9/2022,"Adtech, digital marketing","Redwood City, CA",Amobee,Private,
333,Domino Data Lab,Unclear,Unclear,11/7/2022,"AI, big data",San Francisco,LinkedIn reports,Private,
334,Spreetail,Unclear,Unclear,10/27/2022,"retail, e-commerce","Lincoln, NE",Spreetail CEO,Private,
335,TigerGraph,Unclear,Unclear,10/25/2022,Analytics,"Redwood City, CA",Sources within the company,Private,
336,Clever Real Estate,Unclear,Unclear,10/19/2022,PropTech,St. Louis,St. Louis Business Journal,Private,
337,Noodle,Unclear,Unclear,10/18/2022,EdTech,New York,LinkedIn,Private,
338,Built In,Unclear,Unclear,10/5/2022,Networking,Chicago,LinkedIn,Private,
339,Instacart,Unclear,Unclear,9/24/2022,"delivery, e-commerce",San Francisco,The Information,Private,
340,DayTwo,Unclear,Unclear,9/15/2022,"Health care, nutrition","Walnut Creek, CA",Calcalistech,Private,
341,WorkRamp,Unclear,Unclear,9/15/2022,"Saas, enterprise software","San Carlos, CA",LinkedIn,Private,
342,Sundae,Unclear,Unclear,9/13/2022,PropTech,San Francisco,Confirmed by CB News from sources,Private,
343,Sama,Unclear,Unclear,9/12/2022,"AI, enterprise software",San Francisco,Sama,Private,
344,DreamBox Learning,Unclear,Unclear,9/9/2022,EdTech,Seattle,Geekwire,Private,
345,FullStory,Unclear,Unclear,9/8/2022,"SaaS, data",Atlanta,"Scott Voigt, CEO of FullStory",Private,
346,realtor.com,Unclear,Unclear,9/8/2022,Proptech,"Santa Clara, CA",SFGate,Private,
347,Fungible,Unclear,Unclear,8/29/2022,cryptocurrency,"Santa Clara, CA",Blocks & Files,Private,
348,Pix,Unclear,Unclear,8/24/2022,Foodtech,"Napa, CA",San Francisco Chronicle,Private,
349,People.ai,Unclear,Unclear,7/26/2022,"AI, Sales",San Francisco,LinkedIn,Private,
350,Capsule,Unclear,Unclear,7/21/2022,Health Care,New York,Crain's New York,Private,
351,InVision,Unclear,Unclear,7/21/2022,"Visual collaboration, Apps",New York,LinkedIn,Private,
352,Alto Pharmacy,Unclear,Unclear,7/14/2022,Health Care,San Francisco,LinkedIn,Private,
353,Spring,Unclear,Unclear,7/13/2022,E-commerce,San Francisco,Business Insider,Private,
354,Nextbite,Unclear,Unclear,7/8/2022,"Restaurant Tech, Food Tech",Denver,Business Insider,Private,
355,LetsGetChecked,Unclear,Unclear,7/2/2022,Health Care,New York,Business Post,Private,
356,Teleport,Unclear,Unclear,7/1/2022,Cloud Infrastructure,Oakland,Teleport,Private,
357,Modsy,Unclear,Unclear,6/29/2022,E-commerce,San Francisco,TechCrunch,Private,
358,Degreed,Unclear,Unclear,6/29/2022,EdTech,"Pleasanton, CA",LinkedIn,Private,
359,Keepe,Unclear,Unclear,6/10/2022,PropTech,Seattle,GeekWire,Private,
360,Liongard,Unclear,Unclear,6/10/2022,IT Infrastructure,Houston,CRN,Private,
361,Deep Instinct,Unclear,Unclear,6/8/2022,Cybersecurity,New York,Crunchbase News,Private,
362,ID.Me,Unclear,Unclear,6/7/2022,Identity verification,"McLean, Virginia",Business Insider,Private,
363,Clubhouse,Unclear,Unclear,6/3/2022,"Social Media, Audio",San Francisco,Bloomberg,Private,
364,Zwift,Unclear,Unclear,5/12/2022,Fitness,Long Beach,DC Rainmaker,Private,
365,Tripwire,Unclear,Unclear,5/12/2022,Security,Portland,OregonLive,Private,
366,Mural,Unclear,Unclear,5/6/2022,Product Design,San Francisco,Protocol,Private,
367,Thrasio,Unclear,Unclear,5/2/2022,E-commerce,"Walpole, MA",Insider,Private,
368,Workrise,Unclear,Unclear,4/5/2022,Marketplace,"Austin, TX",TechCrunch,Private,
369,F5,100,1,10/21/2022,"SaaS, enterprise software",Seattle,GeekWire,Public,
370,Affirm,Unclear,1,11/3/2022,"Fintech, loans",San Francisco,The Information,Public,
371,Freshworks,90,2,12/15/2022,"CRM, IT","San Mateo, CA",Inc42,Public,
372,Coursera,32,3,11/9/2022,Edtech,"Mountain View, CA",Coursera CEO,Public,
373,Outbrain,38,3,7/26/2022,Digital Marketing,New York,CTech,Public,
374,WalkMe,43,3,1/8/2023,"edtech, product management",San Francisco,Calcalistech,Public,
375,Amdocs,700,3,1/2/2023,"CRM, enterprise software","Chesterfield, MO",Calcalistech,Public,
376,Nutanix,270,4,8/10/2022,"data center, enterprise software",San Jose,SFGate,Public,
377,Varonis Systems,110,5,11/6/2022,Cybersecurity,New York,Calcalistech,Public,"Half of its layoffs happened at its R&D center in Israel, per reports. Layoffs affected 5% of employees."
378,Amazon,18000,5,1/5/2023,"E-commerce, SaaS",Seattle,Wall Street Journal,Public,
379,Zillow,300,5,10/26/2022,PropTech,Seattle,TechCrunch,Public,
380,Zendesk,350,5,11/7/2022,"Enterprise software, customer service",San Francisco,SFGate,Public,
381,Cisco,4100,5,11/16/2022,"enterprise software, SaaS","San Jose, CA",Silicon Valley Business Journal,Public,
382,TechTarget,60,5,12/8/2022,Marketing,"Newton, MA",MarketWatch,Public,
383,BlackLine,95,5,12/8/2022,Enterprise Software,Los Angeles,Seeking Alpha,Public,
384,Sweetgreen,Unclear,5,8/9/2022,"food and beverage, restaurants","Washington, DC",CNBC,Public,
385,Taboola,100,6,9/13/2022,Content marketing,New York,Calcalistech,Public,
386,Spotify,588,6,01/24/2023,Music,"Stockholm, Sweden",TechCrunch,Public,
387,DoorDash,1250,6,11/30/2022,"Food delivery, ecommerce",San Francisco,Reuters,Public,
388,Latch,30,6,5/13/2022,"Smart Home, Security",New York,TechCrunch,Public,
389,Teladoc Health,300,6,1/18/2023,"health care, telehealth","Purchase, NY",Digital Health,Public,
390,Definitive Healthcare,55,6,1/12/2023,"Health care, analytics","Framingham, MA",CMLVIZ,Public,
391,Rivian,840,6,7/28/2022,"electric vehicle, transportation","Irvine, CA",CNN,Public,
392,Vimeo,Unclear,6,1/4/2023,Media/entertainment,New York,Vimeo,Public,
393,nCino,100,7,1/18/2023,"Fintech, software","Wilmington, NC",Port City Daily,Public,
394,8x8,155,7,1/18/2023,"telecommunications, enterprise software","San Jose, CA",Channel Futures,Public,
395,Roku,200,7,11/17/2022,"media, streaming","Los Gatos, CA",Variety,Public,
396,Informatica,450,7,1/10/2023,"Big data, cloud computing","Redwood City, CA",Channel Futures,Public,
397,BigBear.ai,Unclear,7,9/8/2022,"data analytics, national defense","Columbia, MD",Baltimore Business Journal,Public,
398,Unity,509,8,1/17/2023,Video Games,San Francisco,WSJ,Public,
399,Asana,180,9,11/15/2022,"collaboration, enterprise software",San Francisco,Asana COO,Public,
400,Pear Therapeutics,25,9,7/25/2022,"Software, Biotech",Boston,MassDevice,Public,
401,DocuSign,Unclear,9,9/28/2022,e-signature,San Francisco,CNBC,Public,
402,ForeScout Technologies,100,10,1/10/2023,"cybersecurity, cloud services","San Jose, CA",Calcalistech,Public,
403,Shopify,1000,10,7/26/2022,E-commerce,"Ottawa, Canada",WSJ,Public,
404,Similarweb,120,10,11/16/2022,"AI, analytics",New York,Globes,Public,
405,iRobot,140,10,8/5/2022,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public,
406,Blend,200,10,4/19/2022,Fintech,San Francisco,HousingWire,Public,
407,Skillz,70,10,5/20/2022,Esports/Video Games,San Francisco,TechCrunch,Public,
408,Beachbody,70,10,1/27/2022,Fitness,"Santa Monica, CA",Club Industry,Public,
409,Zulily,99,10,5/16/2022,E-commerce,Seattle,GeekWire,Public,
410,Compass,Unclear,10,1/5/2023,PropTech,New York,Bloomberg,Public,
411,SoundHound,Unclear,10,1/5/2023,Conversational AI,"Santa Clara, CA",SoundHound,Public,
412,Blue Apron,Unclear,10,12/8/2022,"Grocery, e-commerce, delivery service",New York,Blue Apron,Public,
413,Core Scientific,Unclear,10,8/12/2022,"Blockchain, cryptocurrency",Austin,Blockworks,Public,
414,Kaltura,75,11,1/4/2023,"Developer APIs, enterprise software",New York,Globes,Public,
415,Twilio,800,11,9/14/2022,Enterprise Software,San Francisco,TechCrunch,Public,
416,Zuora,Unclear,11,12/6/2022,Cloud Infrastructure,"San Mateo, CA",MarketWatch,Public,
417,BuzzFeed,180,12,12/6/2022,"Media, news",New York,Variety,Public,
418,AppLovin,300,12,6/29/2022,"Mobile Apps, Developer Tools",Palo Alto,Silicon Valley Business Journal,Public,
419,DesktopMetal,Unclear,12,6/13/2022,3D Printing,"Burlington, Massachusetts",MarketWatch,Public,
420,Meta,11000,13,11/9/2022,Social media,"Menlo Park, CA",CNBC,Public,
421,Integral Ad Science,120,13,12/7/2022,"Data science, enterprise",New York,Integral Ad Science,Public,
422,BigCommerce,Unclear,13,12/15/2022,"Enterprise software, e-commerce","Austin, TX",MarketWatch,Public,
423,Elastic,Unclear,13,11/30/2022,"analytics, SaaS",San Francisco,Elastic,Public,
424,Lending Club,225,14,1/12/2023,"Fintech, banking",San Francisco,Bloomberg,Public,
425,Edgio,95,14,12/13/2022,"Cloud computing, web hosting","Tempe, AZ",Edgio,Public,
426,Life360,Unclear,14,1/12/2023,mobile apps,San Francisco,Life360 statement,Public,
427,Groupon,500,15,8/8/2022,"ecommerce, retail",Chicago,TechCrunch,Public,
428,Lyft,760,15,11/3/2022,Transportation,San Francisco,WSJ,Public,
429,Baakt,Unclear,15,12/8/2022,Cryptocurrency,"Alpharetta, GA",Baakt,Public,
430,ThredUp,Unclear,15,8/15/2022,"E-commerce, fashion","Oakland, CA",Retail Dive,Public,
431,Limeade,Unclear,15,1/11/2023,"Employee Benefits, HR Tech","Bellevue, WA",GeekWire,Public,
432,GoodRx,140,16,8/31/2022,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,
433,Astra,Unclear,16,11/8/2022,"aerospace, space","Alameda, CA",Astra CEO,Public,
434,Enjoy,400,18,6/30/2022,"E-commerce, Delivery",Palo Alto,Bloomberg,Public,
435,Opendoor,550,18,11/2/2022,Proptech,San Francisco,Opendoor CEO,Public,
436,Redfin,1332,19,11/9/2022,PropTech,Seattle,Bloomberg,Public,
437,Snap,1280,20,8/31/2022,Social media,"Venice, CA",The Verge,Public,
438,Pluralsight,400,20,12/12/2022,"EdTech, IT","Draper, UT",Pluralsight,Public,
439,Metromile,60,20,7/29/2022,"Insurtech, transportation",San Francisco,Crunchbase,Public,
440,GoHealth,800,20,8/11/2022,"health care, health insurance",Chicago,Chicago Sun Times,Public,
441,Sezzle,Unclear,20,3/10/2022,Fintech,Minneapolis,Reuters,Public,
442,Pagaya,Unclear,20,1/18/2023,"Fintech, AI",New York,Reuters,Public,
443,2U,Unclear,20,8/1/2022,Edtech,"Hyattsville, MD",Inside Higher Ed,Public,
444,Leafly,56,21,10/18/2022,Cannabis,Seattle,Leafly,Public,
445,Sonder,Unclear,21,6/10/2022,Hospitality,San Francisco,MarketWatch,Public,
446,Bird,138,23,6/7/2022,Transporation,Santa Monica,TechCrunch,Public,
447,Rent the Runway,Unclear,24,9/12/2022,"e-commerce, retail",New York,Wall Street Journal,Public,
448,TuSimple,350,25,12/21/2022,"electric vehicle, transportation",San Diego,TechCrunch,Public,
449,Qualtrics,Unclear,25,1/11/2023,"SaaS, enterprise software","Provo, UT",MarketWatch,Public,
450,PayPal,83,27,5/23/2022,Fintech,San Jose,The Information,Public,
451,Blend,Unclear,28,1/10/2023,"Fintech, proptech",San Francisco,Inman,Public,
452,Juul,400,30,11/10/2022,"consumer goods, vape pens",San Francisco,CNBC,Public,
453,Akili Interactive Labs,46,30,1/12/2023,Health care,Boston,Behavioral Health Business,Public,
454,Robinhood,1013,33,8/2/2022,Fintech,Menlo Park,Robinhood,Public,
455,Playtika,250,33,5/31/2022,Gaming,Tel Aviv,Globes,Public,"Closing studios in London, Montreal, and Los Angeles. Layoffs affected around 33% of employees."
456,Vroom,647,33,8/8/2022,"Auto, E-commerce",New York,Automotive News,Public,
457,Stitch Fix,Unclear,35,1/5/2023,"Ecommerce, Fashion",San Francisco,CNBC,Public,
458,Latch,115,37,8/2/2022,PropTech,"New York, NY",Latch,Public,
459,Sema4,750,39,11/14/2022,"AI, health care","Stamford, CT",MarketWatch,Public,
460,Root Insurance,467,40,11/9/2022,InsurTech,Columbus,Columbus Dispatch,Public,
461,Coinbase,2110,43,1/10/2023,Crypto,San Francisco,CNBC,Public,
462,Volta Charging,Unclear,54,10/21/2022,"Automotive, electric vehicles",San Francisco,Volta,Public,
463,Twitter,3740,70,1/5/2023,Social Media,San Francisco,The Information,Public,
464,Starry,Unclear,74,1/18/2023,"WiFi, hardware",Boston,SEC filings,Public,
465,RingCentral,80,Unclear,1/17/2023,"SaaS, meeting software","Belmont, CA",Barron's,Public,
466,Carvana,4000,Unclear,1/13/2023,"Automotive, Ecommerce",Tempe,WSJ,Public,
467,Adobe,100,Unclear,12/6/2022,"Marketing, software, SaaS","San Jose, CA",Bloomberg,Public,
468,Invitae,1000,Unclear,7/18/2022,"Health Care, Biotech",San Francisco,GenomeWeb,Public,
469,Microsoft,10000,Unclear,1/18/2023,Enterprise Software,Seattle,Microsoft,Public,
470,Alphabet,12000,Unclear,1/20/2023,"Big tech, internet services","Mountain View, CA",CNBC,Public,
471,Qualcomm,153,Unclear,12/22/2022,"Telecommunication, wireless",San Diego,San Diego Union-Tribune,Public,
472,Okta,24,Unclear,8/26/2022,"Enterprise software, Management information systems",San Francisco,Unleash,Public,
473,Beyond Meat,240,Unclear,10/14/2022,Foodtech,"Manhattan Beach, CA",CNBC,Public,
474,WeWork,300,Unclear,1/19/2023,"Real Estate, PropTech",New York,WeWork,Public,
475,Peloton,4084,Unclear,10/6/2022,Fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February"
476,UiPath,451,Unclear,11/15/2022,Artificial Intelligence,New York,MarketWatch,Public,
477,Netflix,480,Unclear,9/14/2022,Media/entertainment,Los Gatos,Deadline,Public,
478,Cue,558,Unclear,1/5/2023,Health Care,San Diego,360dx,Public,
479,Warby Parker,63,Unclear,8/8/2022,"Ecommerce, Fashion",New York City,Insider,Public,
480,HashiCorp,69,Unclear,1/11/2023,"cybersecurity, cloud infrastructure",San Francisco,Crunchbase News Reporting,Public,
481,Quanergy Systems,72,Unclear,12/14/2022,Autonomous vehicles,"Sunnyvale, CA",Silicon Valley Business Journal,Public,
482,Doma,825,Unclear,12/6/2022,"Insurtech, machine learning",San Francsico,Doma,Public,The company previously laid off workers in May.
483,Wayfair,870,Unclear,8/19/2022,"E-commerce, retail",Boston,Boston Globe,Public,
484,Salesforce,9090,Unclear,1/4/2023,"enterprise tech, analytics",San Francisco,New York Times,Public,
485,Oracle,Unclear,Unclear,8/1/2022,"SaaS, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off
486,LivePerson,Unclear,Unclear,9/15/2022,Customer service,New York,LinkedIn,Public,
487,Skillz,Unclear,Unclear,8/29/2022,"Mobile Apps, Gaming",San Francisco,Seeking Alpha,Public,
488,Blueboard,Unclear,Unclear,11/3/2022,Enterprise Software,San Francisco,LinkedIn reports,Private,
